Date,Temp
1986-01-01,12.9
1986-01-02,13.8
1986-01-03,10.6
1986-01-04,12.6
1986-01-05,13.7
1986-01-06,12.6
1986-01-07,13.1
1986-01-08,15.4
1986-01-09,11.9
1986-01-10,13.8
1986-01-11,14.4
1986-01-12,15.2
1986-01-13,12.5
1986-01-14,12.2
1986-01-15,16.1
1986-01-16,14.6
1986-01-17,11.6
1986-01-18,13.1
1986-01-19,12.8
1986-01-20,15.2
1986-01-21,13.8
1986-01-22,15.0
1986-01-23,13.5
1986-01-24,11.8
1986-01-25,15.3
1986-01-26,13.5
1986-01-27,15.3
1986-01-28,13.8
1986-01-29,15.8
1986-01-30,17.4
1986-01-31,15.3
1986-02-01,14.6
1986-02-02,14.8
1986-02-03,10.7
1986-02-04,11.6
1986-02-05,13.6
1986-02-06,14.4
1986-02-07,11.8
1986-02-08,15.8
1986-02-09,16.0
1986-02-10,11.8
1986-02-11,14.5
1986-02-12,10.7
1986-02-13,14.2
1986-02-14,19.5
1986-02-15,21.4
1986-02-16,17.9
1986-02-17,17.4
1986-02-18,12.7
1986-02-19,13.8
1986-02-20,14.0
1986-02-21,15.0
1986-02-22,14.5
1986-02-23,13.1
1986-02-24,11.4
1986-02-25,12.5
1986-02-26,12.0
1986-02-27,13.4
1986-02-28,14.4
1986-03-01,17.7
1986-03-02,13.9
1986-03-03,13.3
1986-03-04,14.6
1986-03-05,16.4
1986-03-06,16.8
1986-03-07,20.0
1986-03-08,12.5
1986-03-09,12.7
1986-03-10,11.7
1986-03-11,12.7
1986-03-12,8.6
1986-03-13,11.9
1986-03-14,16.0
1986-03-15,15.2
1986-03-16,13.4
1986-03-17,11.6
1986-03-18,11.1
1986-03-19,15.6
1986-03-20,17.0
1986-03-21,18.5
1986-03-22,17.4
1986-03-23,16.5
1986-03-24,16.2
1986-03-25,16.1
1986-03-26,13.2
1986-03-27,18.0
1986-03-28,12.8
1986-03-29,11.7
1986-03-30,16.7
1986-03-31,15.6
1986-04-01,10.2
1986-04-02,10.3
1986-04-03,15.0
1986-04-04,18.0
1986-04-05,13.8
1986-04-06,10.5
1986-04-07,11.8
1986-04-08,7.2
1986-04-09,11.6
1986-04-10,7.4
1986-04-11,14.2
1986-04-12,12.2
1986-04-13,9.0
1986-04-14,12.3
1986-04-15,19.7
1986-04-16,12.8
1986-04-17,12.4
1986-04-18,12.0
1986-04-19,12.0
1986-04-20,11.1
1986-04-21,12.7
1986-04-22,14.2
1986-04-23,11.6
1986-04-24,12.0
1986-04-25,11.5
1986-04-26,8.3
1986-04-27,10.5
1986-04-28,9.0
1986-04-29,6.9
1986-04-30,9.4
1986-05-01,11.1
1986-05-02,9.1
1986-05-03,7.7
1986-05-04,10.0
1986-05-05,10.4
1986-05-06,8.0
1986-05-07,9.8
1986-05-08,12.4
1986-05-09,12.9
1986-05-10,12.3
1986-05-11,6.9
1986-05-12,10.5
1986-05-13,11.0
1986-05-14,9.7
1986-05-15,11.1
1986-05-16,11.5
1986-05-17,13.4
1986-05-18,10.9
1986-05-19,12.0
1986-05-20,12.1
1986-05-21,10.4
1986-05-22,10.0
1986-05-23,9.6
1986-05-24,11.3
1986-05-25,8.5
1986-05-26,6.3
1986-05-27,8.2
1986-05-28,10.7
1986-05-29,10.3
1986-05-30,9.5
1986-05-31,10.9
1986-06-01,10.9
1986-06-02,4.3
1986-06-03,5.2
1986-06-04,11.0
1986-06-05,11.6
1986-06-06,10.6
1986-06-07,9.4
1986-06-08,10.0
1986-06-09,9.6
1986-06-10,9.5
1986-06-11,9.7
1986-06-12,9.6
1986-06-13,7.0
1986-06-14,7.0
1986-06-15,6.8
1986-06-16,6.9
1986-06-17,8.0
1986-06-18,7.6
1986-06-19,8.6
1986-06-20,5.7
