Date,Temp
1984-01-01,19.5
1984-01-02,17.1
1984-01-03,17.1
1984-01-04,12.0
1984-01-05,11.0
1984-01-06,16.3
1984-01-07,16.1
1984-01-08,13.0
1984-01-09,13.4
1984-01-10,15.2
1984-01-11,12.5
1984-01-12,14.3
1984-01-13,16.5
1984-01-14,18.6
1984-01-15,18.0
1984-01-16,18.2
1984-01-17,11.4
1984-01-18,11.9
1984-01-19,12.2
1984-01-20,14.8
1984-01-21,13.1
1984-01-22,12.7
1984-01-23,10.5
1984-01-24,13.8
1984-01-25,18.8
1984-01-26,13.9
1984-01-27,11.2
1984-01-28,10.6
1984-01-29,14.7
1984-01-30,13.1
1984-01-31,12.1
1984-02-01,14.7
1984-02-02,11.1
1984-02-03,13.0
1984-02-04,15.6
1984-02-05,14.2
1984-02-06,15.5
1984-02-07,18.0
1984-02-08,15.0
1984-02-09,15.9
1984-02-10,15.5
1984-02-11,15.8
1984-02-12,16.6
1984-02-13,13.6
1984-02-14,13.8
1984-02-15,14.6
1984-02-16,15.6
1984-02-17,16.6
1984-02-18,14.3
1984-02-19,16.3
1984-02-20,18.9
1984-02-21,18.7
1984-02-22,14.5
1984-02-23,16.5
1984-02-24,14.1
1984-02-25,13.5
1984-02-26,11.7
1984-02-27,15.1
1984-02-28,11.2
1984-02-29,13.5
1984-03-01,12.6
1984-03-02,8.8
1984-03-03,10.5
1984-03-04,12.1
1984-03-05,14.5
1984-03-06,19.5
1984-03-07,14.0
1984-03-08,13.8
1984-03-09,10.5
1984-03-10,13.8
1984-03-11,11.4
1984-03-12,15.6
1984-03-13,11.1
1984-03-14,12.1
1984-03-15,14.2
1984-03-16,10.9
1984-03-17,14.2
1984-03-18,13.8
1984-03-19,15.1
1984-03-20,14.0
1984-03-21,12.1
1984-03-22,13.8
1984-03-23,16.6
1984-03-24,17.8
1984-03-25,9.4
1984-03-26,10.2
1984-03-27,7.4
1984-03-28,8.7
1984-03-29,14.0
1984-03-30,15.3
1984-03-31,11.1
1984-04-01,9.7
1984-04-02,10.3
1984-04-03,9.2
1984-04-04,8.2
1984-04-05,9.7
1984-04-06,12.4
1984-04-07,12.5
1984-04-08,9.0
1984-04-09,9.7
1984-04-10,10.1
1984-04-11,11.2
1984-04-12,12.0
1984-04-13,11.1
1984-04-14,10.8
1984-04-15,12.8
1984-04-16,9.8
1984-04-17,13.7
1984-04-18,11.0
1984-04-19,13.2
1984-04-20,13.0
1984-04-21,10.2
1984-04-22,13.2
1984-04-23,9.3
1984-04-24,11.1
1984-04-25,10.3
1984-04-26,8.7
1984-04-27,11.7
1984-04-28,12.5
1984-04-29,6.5
1984-04-30,9.6
1984-05-01,13.8
1984-05-02,14.7
1984-05-03,9.1
1984-05-04,4.8
1984-05-05,3.3
1984-05-06,3.5
1984-05-07,5.7
1984-05-08,5.5
