user_id,game,action,freq
11373749,Sid Meier's Civilization IV,purchase,1.0
11373749,Sid Meier's Civilization IV,play,0.1
11373749,Sid Meier's Civilization IV,purchase,1.0
11373749,Sid Meier's Civilization IV Beyond the Sword,purchase,1.0
11373749,Sid Meier's Civilization IV Beyond the Sword,purchase,1.0
11373749,Sid Meier's Civilization IV Warlords,purchase,1.0
11373749,Sid Meier's Civilization IV Warlords,purchase,1.0
56038151,Tom Clancy's H.A.W.X. 2,purchase,1.0
56038151,Tom Clancy's H.A.W.X. 2,play,0.2
56038151,Grand Theft Auto San Andreas,purchase,1.0
56038151,Grand Theft Auto San Andreas,purchase,1.0
56038151,Grand Theft Auto Vice City,purchase,1.0
56038151,Grand Theft Auto Vice City,purchase,1.0
56038151,Grand Theft Auto III,purchase,1.0
56038151,Grand Theft Auto III,purchase,1.0
57103808,Arma 2,purchase,1.0
57103808,Arma 2,play,3.3
57103808,Sid Meier's Civilization IV,purchase,1.0
57103808,Sid Meier's Civilization IV,play,2.0
57103808,Sid Meier's Civilization IV,purchase,1.0
148510973,Grand Theft Auto San Andreas,purchase,1.0
148510973,Grand Theft Auto San Andreas,play,0.9
148510973,Grand Theft Auto Vice City,purchase,1.0
148510973,Grand Theft Auto III,purchase,1.0
148510973,Grand Theft Auto III,purchase,1.0
148510973,Grand Theft Auto San Andreas,purchase,1.0
148510973,Grand Theft Auto Vice City,purchase,1.0
9823354,Sid Meier's Civilization IV Beyond the Sword,purchase,1.0
9823354,Sid Meier's Civilization IV Beyond the Sword,play,21.0
9823354,Sid Meier's Civilization IV,purchase,1.0
9823354,Sid Meier's Civilization IV,play,21.0
9823354,Sid Meier's Civilization IV,purchase,1.0
9823354,Sid Meier's Civilization IV Beyond the Sword,purchase,1.0
9823354,Sid Meier's Civilization IV Warlords,purchase,1.0
9823354,Sid Meier's Civilization IV Warlords,purchase,1.0
168031436,Grand Theft Auto San Andreas,purchase,1.0
168031436,Grand Theft Auto San Andreas,play,0.5
168031436,Grand Theft Auto San Andreas,purchase,1.0
71082079,Sid Meier's Civilization IV,purchase,1.0
71082079,Sid Meier's Civilization IV,play,51.0
71082079,Sid Meier's Civilization IV,purchase,1.0
86338111,Grand Theft Auto San Andreas,purchase,1.0
86338111,Grand Theft Auto San Andreas,play,14.6
86338111,Arma 2,purchase,1.0
86338111,Arma 2,play,0.9
86338111,Grand Theft Auto San Andreas,purchase,1.0
20200395,Grand Theft Auto III,purchase,1.0
20200395,Grand Theft Auto III,play,1.0
20200395,Grand Theft Auto Vice City,purchase,1.0
20200395,Grand Theft Auto Vice City,play,0.8
20200395,Grand Theft Auto San Andreas,purchase,1.0
20200395,Grand Theft Auto San Andreas,play,0.3
20200395,TERA,purchase,1.0
20200395,Grand Theft Auto San Andreas,purchase,1.0
20200395,Grand Theft Auto Vice City,purchase,1.0
20200395,Grand Theft Auto III,purchase,1.0
61676491,Arma 2,purchase,1.0
61676491,Arma 2,play,0.3
61676491,Grand Theft Auto San Andreas,purchase,1.0
61676491,Grand Theft Auto San Andreas,purchase,1.0
157469247,Grand Theft Auto San Andreas,purchase,1.0
157469247,Grand Theft Auto San Andreas,play,22.0
157469247,Grand Theft Auto San Andreas,purchase,1.0
142001340,Grand Theft Auto San Andreas,purchase,1.0
142001340,Grand Theft Auto San Andreas,purchase,1.0
87071236,Grand Theft Auto San Andreas,purchase,1.0
87071236,Grand Theft Auto San Andreas,purchase,1.0
64787956,Grand Theft Auto Vice City,purchase,1.0
